unique_id,display_id,vehicle_type,direction,cardinal_direction,confidence,frame_detected,timestamp,source_file
b4dfe67b,785,2-Wheeler,southbound,westbound,0.660412073135376,7774,2025-10-11T18:56:17.747088,ch02_20220108175448.mp4
59f4fc9a,789,Car (3-Axle),southbound,stationary,0.7879594564437866,7794,2025-10-11T18:56:19.917143,ch02_20220108175448.mp4
cda7529e,793,Car,eastbound,southbound,0.4382263720035553,7811,2025-10-11T18:56:21.797269,ch02_20220108175448.mp4
75441b78,797,Truck (2-Axle),eastbound,stationary,0.4156053364276886,7829,2025-10-11T18:56:23.747158,ch02_20220108175448.mp4
ea89ada3,798,2-Wheeler,southbound,westbound,0.5556730031967163,7835,2025-10-11T18:56:24.387459,ch02_20220108175448.mp4
0c6d3b51,800,2-Wheeler,westbound,eastbound,0.41901713609695435,7865,2025-10-11T18:56:27.697500,ch02_20220108175448.mp4
7b5e2b1e,806,Car (2-Axle),westbound,eastbound,0.7286950945854187,7900,2025-10-11T18:56:31.527314,ch02_20220108175448.mp4
b1fd3088,807,Car,westbound,stationary,0.7618463635444641,7917,2025-10-11T18:56:33.427249,ch02_20220108175448.mp4
0fb98f97,809,2-Wheeler,westbound,eastbound,0.44272032380104065,7927,2025-10-11T18:56:34.527144,ch02_20220108175448.mp4
251c5c92,810,Truck (2-Axle),eastbound,stationary,0.4636799693107605,7929,2025-10-11T18:56:34.737555,ch02_20220108175448.mp4
3b48f41d,812,Bus (2-Axle),eastbound,stationary,0.4194360673427582,7959,2025-10-11T18:56:38.057296,ch02_20220108175448.mp4
dcbf2c31,816,Car,eastbound,stationary,0.40028172731399536,7986,2025-10-11T18:56:40.987270,ch02_20220108175448.mp4
082a7601,817,Van,southbound,stationary,0.7009633779525757,7987,2025-10-11T18:56:41.097341,ch02_20220108175448.mp4
fe894e4d,820,LCV,westbound,stationary,0.8284977078437805,8006,2025-10-11T18:56:43.177392,ch02_20220108175448.mp4
63b07351,822,Mini Truck,westbound,eastbound,0.5404967069625854,8031,2025-10-11T18:56:45.967047,ch02_20220108175448.mp4
b5eea72f,824,Car,eastbound,stationary,0.42630550265312195,8048,2025-10-11T18:56:47.827302,ch02_20220108175448.mp4
d141bf5c,829,Jeep,westbound,eastbound,0.5394628643989563,8122,2025-10-11T18:56:56.008264,ch02_20220108175448.mp4
1e5c0502,828,Car (2-Axle),westbound,eastbound,0.5816732048988342,8124,2025-10-11T18:56:56.227426,ch02_20220108175448.mp4
1e21cf77,823,2-Wheeler,southbound,westbound,0.5624758005142212,8134,2025-10-11T18:56:57.347168,ch02_20220108175448.mp4
89e72064,831,Car,westbound,stationary,0.5637497305870056,8136,2025-10-11T18:56:57.557311,ch02_20220108175448.mp4
de8a6951,830,Mini Truck,westbound,eastbound,0.43391770124435425,8137,2025-10-11T18:56:57.667891,ch02_20220108175448.mp4
f77855d7,833,Truck (2-Axle),westbound,westbound,0.7431631088256836,8170,2025-10-11T18:57:01.317267,ch02_20220108175448.mp4
68d8b1d1,835,Truck (3-Axle),southbound,westbound,0.8517487049102783,8177,2025-10-11T18:57:02.097234,ch02_20220108175448.mp4
32060058,836,Truck (Multi-Axle),southbound,westbound,0.7259883284568787,8184,2025-10-11T18:57:02.857368,ch02_20220108175448.mp4
804a58be,838,Car,westbound,stationary,0.40224477648735046,8194,2025-10-11T18:57:03.967206,ch02_20220108175448.mp4
a7dc1df5,840,Truck (2-Axle),eastbound,stationary,0.481860488653183,8257,2025-10-11T18:57:10.907023,ch02_20220108175448.mp4
1b46531a,841,Car,eastbound,stationary,0.4305095672607422,8263,2025-10-11T18:57:11.557435,ch02_20220108175448.mp4
0e034999,843,2-Wheeler,westbound,eastbound,0.401928573846817,8278,2025-10-11T18:57:13.217173,ch02_20220108175448.mp4
ce1aa159,845,Bus (2-Axle),eastbound,stationary,0.5565817952156067,8303,2025-10-11T18:57:15.957237,ch02_20220108175448.mp4
90e4964a,847,Mini Truck,eastbound,stationary,0.4388120770454407,8335,2025-10-11T18:57:19.477228,ch02_20220108175448.mp4
fef33aab,849,2-Wheeler,southbound,westbound,0.6439989805221558,8383,2025-10-11T18:57:24.790256,ch02_20220108175448.mp4
dee6d0bc,854,Car (2-Axle),westbound,eastbound,0.7650841474533081,8395,2025-10-11T18:57:26.127370,ch02_20220108175448.mp4
429746ee,853,Car,eastbound,stationary,0.40807458758354187,8395,2025-10-11T18:57:26.127370,ch02_20220108175448.mp4
5c7bc860,855,Car,westbound,eastbound,0.7563546299934387,8401,2025-10-11T18:57:26.787308,ch02_20220108175448.mp4
6d197169,856,2-Wheeler,westbound,eastbound,0.4436505138874054,8406,2025-10-11T18:57:27.357299,ch02_20220108175448.mp4
28517d1f,857,Bus (2-Axle),eastbound,stationary,0.403618723154068,8436,2025-10-11T18:57:30.687210,ch02_20220108175448.mp4
a1c34bbf,859,Car,eastbound,stationary,0.4465925097465515,8454,2025-10-11T18:57:32.667256,ch02_20220108175448.mp4
3c7dc04e,861,Mini Truck,westbound,stationary,0.4341273605823517,8482,2025-10-11T18:57:35.737279,ch02_20220108175448.mp4
db21aaf3,858,2-Wheeler,southbound,westbound,0.5155758261680603,8489,2025-10-11T18:57:36.501912,ch02_20220108175448.mp4
